organization,soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
3,pH_H20,withoutTransform,int10CVrep10,wavelet,14,70,0.36924588504903305,-0.020490109971585048,0.9114250940383204,0.9539728691879976,3.306631157130395,5.2250574540003605
3,potassium_cmolkg,logTransform,int10CVrep10,BOC,5,69,0.49389360412869476,-0.002839443680541366,0.6004811327210517,0.7715739045757971,1.5558256309828993,2.0646156988501723
3,potassium_cmolkg,logTransform,int10CVrep10,raw,5,69,0.49237093272165416,-0.011262145657884975,0.5986952992531105,0.7690226192422891,1.5600065386414936,2.070163857599764
3,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer,5,69,0.5455132467996886,-3.8366656457360397e-4,0.5437440507752931,0.7368476655394913,1.4078656098184017,1.8682694140126892
3,potassium_cmolkg,logTransform,int10CVrep10,SNV,5,69,0.5621789540183117,-0.008541105405649565,0.5076168922355924,0.710356220971578,1.3671907712991458,1.8142929860102799
3,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer,5,69,0.5598775352068156,-0.008486073371146522,0.5286632638661501,0.7266777466166934,1.3718946725962513,1.820535169112579
3,potassium_cmolkg,logTransform,int10CVrep10,wavelet,5,69,0.5612155692216897,0.002117935888033442,0.5295906041343484,0.7272682921367791,1.3688592130037203,1.8165070457784716
4,carbon_org_perc,logTransform,int10CVrep10,BOC,5,69,0.8863820605186629,0.0985658830139989,0.5118157279713652,0.7110326658497357,1.3631741239435777,1.8045539730026
4,carbon_org_perc,logTransform,int10CVrep10,raw,10,69,0.37604420620363294,0.025995036570650883,0.9017426641732593,0.9482234265730028,3.2186048412509205,4.260751470987541
4,carbon_org_perc,logTransform,int10CVrep10,SG1stDer,8,69,0.3083630573201041,-0.026243349481390354,0.9362411239819487,0.9669790768173088,3.9303079091029254,5.2028956740883565
4,carbon_org_perc,logTransform,int10CVrep10,SNV,8,69,0.3476968981797481,0.029572788134289412,0.9164494440548541,0.9563675295610986,3.485665420586625,4.6142831446070796
4,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer,7,69,0.3306995131839379,-0.016992937950191186,0.9255146547212079,0.9615136111849689,3.6649784957442106,4.851655697755931
4,carbon_org_perc,logTransform,int10CVrep10,wavelet,5,69,0.3662510729506241,-0.019834990102407746,0.9101047793886637,0.9534794403986477,3.307208360576275,4.378043774305352
4,clay_perc,withoutTransform,int10CVrep10,BOC,26,69,8.003135001445447,0.2996619817635855,0.6578684916945335,0.7958454781446137,1.5649654428627233,1.9109180731760123
4,clay_perc,withoutTransform,int10CVrep10,raw,7,69,7.644100843212024,0.3119931442686305,0.6133975988612113,0.7813773083219163,1.5470066188442035,1.8889892558040446
4,clay_perc,withoutTransform,int10CVrep10,SG1stDer,12,69,5.885939043738019,0.44890326797380675,0.7893419088756625,0.8828250255241206,2.064148120434134,2.520450510290202
4,clay_perc,withoutTransform,int10CVrep10,SNV,13,69,6.331406765065177,0.32532980834715003,0.7408646703805566,0.8581238006052442,1.8940081874703318,2.312699294854575
4,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,13,69,5.002116376782587,0.24208053355073553,0.8238659333302922,0.9067614845757511,2.383804258759082,2.9107701142869633
4,clay_perc,withoutTransform,int10CVrep10,wavelet,8,69,5.9822122580505335,0.2407061369807053,0.7821045130598416,0.8803848593578221,1.9848786208117133,2.4236576257118614
4,pH_H20,withoutTransform,int10CVrep10,BOC,5,70,0.9780011456431046,-0.08811044697734743,0.46500896111274687,0.6627852188970553,1.3697372486223853,2.1644252052434494
4,pH_H20,withoutTransform,int10CVrep10,raw,10,70,0.5521233131398817,-0.00851238516140162,0.7980719811260076,0.8920728415793915,2.237705385833801,3.535967167337309
4,pH_H20,withoutTransform,int10CVrep10,SG1stDer,6,70,0.6035008783985097,-0.03822847916638734,0.7726682224461211,0.8775068864706903,2.032948608125665,3.2124155291952876
4,pH_H20,withoutTransform,int10CVrep10,SNV,9,70,0.5170561431867602,0.01879456268506551,0.8218821438682503,0.9051857446806502,2.372848754899613,3.749517404524589
4,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer,7,70,0.450913523624978,0.004177803840551684,0.8632934299548762,0.9285067331149139,2.715113517706776,4.29035578811353
4,pH_H20,withoutTransform,int10CVrep10,wavelet,8,70,0.5839621721674895,-0.020268429596611372,0.8056155989627799,0.8934148754409609,2.10045759406554,3.3190915730100037
4,potassium_cmolkg,logTransform,int10CVrep10,BOC,5,69,0.5830398778495995,0.0364177829755653,0.4870125222990077,0.6941028329674412,1.3255934789358128,1.7590924409538644
4,potassium_cmolkg,logTransform,int10CVrep10,raw,16,69,0.5118166251974239,0.020924811998889854,0.6324098247060883,0.7911339809731772,1.516126710613818,2.011934336241673
